Nb heures,Age,Continent,Job,Genre
5,0,Asia,Student,Female
3,1,Asia,Student,Female
0,1,Asia,Student,Female
5,0,Canada,Employed,Female
5,2,Canada,Employed,Female
5,0,Canada,Student,Female
3,0,Canada,Student,Female
5,0,Canada,Student,Female
5,1,Canada,Student,Female
3,1,Canada,Student,Female
5,1,Canada,Student,Female
24,1,Canada,Student,Female
3,1,Canada,Student,Female
3,1,Canada,Student,Female
5,1,canada,Student,Female
3,1,Canada,Student,Female
5,1,Canada,Student,Female
5,2,Canada,Student,Female
3,3,Canada,Student,Female
3,1,Central America,Student,Female
3,1,Europe,Employed,Female
5,1,Europe,Employed,Female
5,1,Europe,Employed,Female
3,1,Europe,Employed,Female
5,0,Europe,Student,Female
0,0,Europe,Student,Female
3,0,Europe,Student,Female
5,0,Europe,Student,Female
3,0,Europe,Student,Female
5,0,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
11,1,Europe,Student,Female
5,1,Europe,Student,Female
5,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
5,1,Europe,Student,Female
5,1,Europe,Student,Female
0,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
5,1,Europe,Student,Female
3,1,Europe,Student,Female
5,1,Europe,Student,Female
5,1,Europe,Student,Female
5,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
5,1,Europe,Student,Female
3,1,Europe,Student,Female
5,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
5,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,1,Europe,Student,Female
3,2,Europe,Student,Female
3,2,Europe,Student,Female
20,1,Europe,Student,Female
3,1,Europe,Student,Female
3,3,Latin America,Employed,Female
3,2,Latin America,Employed,Female
3,1,Latin America,Student,Female
5,1,Latin America,Student,Female
5,1,Latin America,Student,Female
3,1,Latin America,Student,Female
5,1,Latin America,Student,Female
5,2,Latin America,Student,Female
3,1,Oceania,Employed,Female
3,0,Oceania,Student,Female
5,1,Oceania,Student,Female
5,1,Oceania,Student,Female
5,1,Oceania,Student,Female
3,1,Oceania,Student,Female
5,1,Oceania,Student,Female
5,1,Oceania,Student,Female
3,1,Oceania,Employed,Female
3,3,Asia,Employed,Female
5,2,Asia,Student,Female
3,1,Europe,Student,Female
5,1,South Africa,Student,Female
3,1,South Africa,Student,Female
0,2,USA,Employed,Female
5,2,USA,Employed,Female
5,2,USA,Employed,Female
5,2,USA,Employed,Female
0,2,USA,Employed,Female
3,2,USA,Employed,Female
3,2,USA,Employed,Female
3,2,USA,Employed,Female
5,2,USA,Employed,Female
3,1,USA,Student,Female
5,0,USA,Student,Female
3,0,USA,Student,Female
5,0,USA,Student,Female
24,0,USA,Student,Female
3,0,USA,Student,Female
5,0,USA,Student,Female
3,0,USA,Student,Female
3,0,USA,Student,Female
3,0,USA,Student,Female
3,0,USA,Student,Female
5,0,USA,Student,Female
3,0,USA,Student,Female
3,0,USA,Student,Female
5,0,USA,Student,Female
5,0,USA,Student,Female
3,0,USA,Student,Female
3,0,USA,Student,Female
5,0,USA,Student,Female
5,1,USA,Student,Female
3,1,USA,Student,Female
3,1,USA,Student,Female
20,1,USA,Student,Female
3,1,USA,Student,Female
0,1,USA,Student,Female
5,1,USA,Student,Female
3,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
24,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
3,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
3,1,USA,Student,Female
3,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
5,1,USA,Student,Female
3,1,USA,Student,Female
3,1,USA,Student,Female
3,1,USA,Student,Female
24,1,USA,Student,Female
5,1,USA,Student,Female
